预约单号,站点编码,客户编码,客户名称,温区,温区名称,车辆牌号,计划出库时间,状态,箱号,关联交接记录ID,创建人,确认人,确认时间,取消人,取消时间,取消原因,关联装车计划ID,规则版本,创建时间,更新时间,备注
RES-20260606115253113,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A99999,2026-06-07T11:52:51.104647,LOADED,BOX-RES-CONFLICT-20260606195116,,admin,admin,2026-06-06T11:57:23.087157,,,,6,res-v1.0,2026-06-06T11:52:53.113778,2026-06-06T11:57:29.142683,
RES-20260606115238995,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),,2026-06-07T11:52:24.897762,DRAFT,BOX-RES-PERM2-20260606195116,,admin,,,,,,,res-v1.0,2026-06-06T11:52:38.995493,2026-06-06T11:52:38.995496,
RES-20260606115138475,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:51:36.450257,LOADED,BOX-RES-SUCCESS-20260606195116,217,admin,admin,2026-06-06T11:51:44.531144,,,,5,res-v1.0,2026-06-06T11:51:38.476437,2026-06-06T11:52:06.746886,调整车辆
RES-20260606115156635,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:51:36.450257,LOADED,BOX-RES-SUCCESS2-20260606195116,218,admin,admin,2026-06-06T11:51:58.660472,,,,5,res-v1.0,2026-06-06T11:51:56.636371,2026-06-06T11:52:08.764567,
RES-20260606114829021,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:48:27.012485,DRAFT,BOX-RES-BATCH-20260606194121-0,,admin,,,,,,,res-v1.0,2026-06-06T11:48:29.022127,2026-06-06T11:48:29.022130,批量导入测试0
RES-20260606114829027,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:48:27.012485,DRAFT,BOX-RES-BATCH-20260606194121-1,,admin,,,,,,,res-v1.0,2026-06-06T11:48:29.027416,2026-06-06T11:48:29.027419,批量导入测试1
RES-20260606114829030,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:48:27.012485,DRAFT,BOX-RES-BATCH-20260606194121-2,,admin,,,,,,,res-v1.0,2026-06-06T11:48:29.030415,2026-06-06T11:48:29.030418,批量导入测试2
RES-20260606114829032,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:48:27.012485,DRAFT,BOX-RES-BATCH-20260606194121-3,,admin,,,,,,,res-v1.0,2026-06-06T11:48:29.033221,2026-06-06T11:48:29.033224,批量导入测试3
RES-20260606114829035,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-BATCH,2026-06-07T11:48:27.012485,DRAFT,BOX-RES-BATCH-20260606194121-4,,admin,,,,,,,res-v1.0,2026-06-06T11:48:29.036045,2026-06-06T11:48:29.036048,批量导入测试4
RES-20260606114258247,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A99999,2026-06-07T11:42:56.234737,LOADED,BOX-RES-CONFLICT-20260606194121,,admin,admin,2026-06-06T11:47:28.564020,,,,4,res-v1.0,2026-06-06T11:42:58.248509,2026-06-06T11:47:34.614360,
RES-20260606114312382,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-0,,admin,,,,,,,res-v1.0,2026-06-06T11:43:12.383015,2026-06-06T11:43:12.383018,
RES-20260606114324487,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-1,,admin,,,,,,,res-v1.0,2026-06-06T11:43:24.488261,2026-06-06T11:43:24.488264,
RES-20260606114336618,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-2,,admin,,,,,,,res-v1.0,2026-06-06T11:43:36.618484,2026-06-06T11:43:36.618487,
RES-20260606114348716,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-3,,admin,,,,,,,res-v1.0,2026-06-06T11:43:48.716533,2026-06-06T11:43:48.716536,
RES-20260606114400824,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-4,,admin,,,,,,,res-v1.0,2026-06-06T11:44:00.825210,2026-06-06T11:44:00.825213,
RES-20260606114412936,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-5,,admin,,,,,,,res-v1.0,2026-06-06T11:44:12.937558,2026-06-06T11:44:12.937563,
RES-20260606114425043,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-6,,admin,,,,,,,res-v1.0,2026-06-06T11:44:25.044125,2026-06-06T11:44:25.044128,
RES-20260606114437145,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-7,,admin,,,,,,,res-v1.0,2026-06-06T11:44:37.145855,2026-06-06T11:44:37.145860,
RES-20260606114449260,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-8,,admin,,,,,,,res-v1.0,2026-06-06T11:44:49.260531,2026-06-06T11:44:49.260534,
RES-20260606114501350,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-9,,admin,,,,,,,res-v1.0,2026-06-06T11:45:01.350448,2026-06-06T11:45:01.350452,
RES-20260606114513462,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-10,,admin,,,,,,,res-v1.0,2026-06-06T11:45:13.463394,2026-06-06T11:45:13.463397,
RES-20260606114525567,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-11,,admin,,,,,,,res-v1.0,2026-06-06T11:45:25.567974,2026-06-06T11:45:25.567979,
RES-20260606114537663,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-12,,admin,,,,,,,res-v1.0,2026-06-06T11:45:37.663682,2026-06-06T11:45:37.663685,
RES-20260606114549773,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-13,,admin,,,,,,,res-v1.0,2026-06-06T11:45:49.773586,2026-06-06T11:45:49.773589,
RES-20260606114601880,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-14,,admin,,,,,,,res-v1.0,2026-06-06T11:46:01.881195,2026-06-06T11:46:01.881199,
RES-20260606114613983,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-15,,admin,,,,,,,res-v1.0,2026-06-06T11:46:13.983632,2026-06-06T11:46:13.983637,
RES-20260606114626090,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-16,,admin,,,,,,,res-v1.0,2026-06-06T11:46:26.090967,2026-06-06T11:46:26.090970,
RES-20260606114638187,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-17,,admin,,,,,,,res-v1.0,2026-06-06T11:46:38.187472,2026-06-06T11:46:38.187475,
RES-20260606114650276,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-18,,admin,,,,,,,res-v1.0,2026-06-06T11:46:50.277179,2026-06-06T11:46:50.277182,
RES-20260606114702369,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-CAP-TEST,2026-06-07T11:42:56.234737,DRAFT,BOX-RES-CAP-20260606194121-19,,admin,,,,,,,res-v1.0,2026-06-06T11:47:02.369862,2026-06-06T11:47:02.369881,
RES-20260606114244131,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),,2026-06-07T11:42:30.028532,DRAFT,BOX-RES-PERM2-20260606194121,,admin,,,,,,,res-v1.0,2026-06-06T11:42:44.131746,2026-06-06T11:42:44.131749,
RES-20260606114143561,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:41:41.532215,LOADED,BOX-RES-SUCCESS-20260606194121,215,admin,admin,2026-06-06T11:41:49.638763,,,,3,res-v1.0,2026-06-06T11:41:43.563189,2026-06-06T11:42:13.877069,调整车辆
RES-20260606114203761,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:41:41.532215,LOADED,BOX-RES-SUCCESS2-20260606194121,216,admin,admin,2026-06-06T11:42:05.776392,,,,3,res-v1.0,2026-06-06T11:42:03.762066,2026-06-06T11:42:15.894179,
RES-20260606113903087,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:39:01.062740,LOADED,BOX-RES-SUCCESS-20260606193840,213,admin,admin,2026-06-06T11:39:09.154685,,,,2,res-v1.0,2026-06-06T11:39:03.088988,2026-06-06T11:39:33.380116,调整车辆
RES-20260606113923276,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:39:01.062740,LOADED,BOX-RES-SUCCESS2-20260606193840,214,admin,admin,2026-06-06T11:39:25.293108,,,,2,res-v1.0,2026-06-06T11:39:23.276736,2026-06-06T11:39:35.397413,
RES-20260606113552829,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:35:50.808684,LOADED,BOX-RES-SUCCESS-20260606193530,211,admin,admin,2026-06-06T11:35:58.881596,,,,1,res-v1.0,2026-06-06T11:35:52.831172,2026-06-06T11:36:23.115256,调整车辆
RES-20260606113613009,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A67890,2026-06-07T11:35:50.808684,LOADED,BOX-RES-SUCCESS2-20260606193530,212,admin,admin,2026-06-06T11:36:15.024991,,,,1,res-v1.0,2026-06-06T11:36:13.010269,2026-06-06T11:36:25.135846,
RES-20260606113434102,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A12345,2026-06-07T11:34:32.090490,DRAFT,BOX-RES-SUCCESS-20260606193411,210,admin,,,,,,,res-v1.0,2026-06-06T11:34:34.103082,2026-06-06T11:34:34.103085,测试预约
RES-20260606113347906,CP001,CUST001,省人民医院,REFRIGERATED,冷藏(2℃~8℃),京A-TEST-001,2026-06-07T11:33:45.884676,DRAFT,BOX-MANUAL-TEST-005,,admin,,,,,,,res-v1.0,2026-06-06T11:33:47.908729,2026-06-06T11:33:47.908733,Manual test
